Name,Battery kWh,Acceleration sec,TopSpeed km/h,Range km,Efficiency Wh/km,NumberofSeats,PriceinEurope,Score
Nissan Ariya e-4ORCE 63kWh,63.0,5.9,200.0,325.0,194.0,5,50000,0.4504027902290656
Nissan Ariya e-4ORCE 87kWh,87.0,5.7,200.0,420.0,207.0,5,57500,0.4798306705614305
Nissan Ariya e-4ORCE 87kWh Performance,87.0,5.1,200.0,385.0,226.0,5,65000,0.45634007647831093
Volkswagen ID.3 Pro Performance,58.0,7.3,160.0,350.0,166.0,5,36495,0.46269091028319376
Volkswagen ID.4 Pro Performance,77.0,8.5,160.0,410.0,188.0,5,44450,0.46262503624821455
Lucid Air Grand Touring,110.0,3.2,270.0,660.0,167.0,5,140000,0.5647782656081695
Lucid Air Touring,85.0,3.4,250.0,530.0,160.0,5,95000,0.5425940460028381
Lucid Air Pure,85.0,4.2,200.0,540.0,157.0,5,80000,0.5398623055207575
Tesla Model 3 Standard Range Plus LFP,51.0,5.6,225.0,340.0,150.0,5,43560,0.4893189369634374
Tesla Model 3 Performance,76.0,3.3,261.0,470.0,162.0,5,58560,0.5477771092900885
Fiat 500e Hatchback 24 kWh,23.8,9.5,135.0,165.0,144.0,4,23560,0.38508857567328214
Mercedes EQC 400 4MATIC,80.0,5.1,180.0,370.0,216.0,5,66069,0.44871767208531144
Kia e-Niro 64 kWh,64.0,7.8,167.0,370.0,173.0,5,39090,0.4636887664382206
Kia e-Niro 39 kWh,39.2,9.8,155.0,235.0,167.0,5,35290,0.40000403387537364
Citroen e-SpaceTourer M 50 kWh,45.0,12.1,130.0,185.0,243.0,7,51440,0.31786704926790577
Opel Zafira-e Life L 50 kWh,45.0,12.1,130.0,180.0,250.0,7,54625,0.30937409004514166
Peugeot e-Traveller Standard 50 kWh,45.0,13.1,130.0,185.0,243.0,7,55900,0.30761256421807187
Peugeot e-Traveller Long 50 kWh,45.0,13.1,130.0,185.0,243.0,7,56690,0.3070614014273742
Hyundai IONIQ 5 Project 45,72.6,5.2,185.0,370.0,196.0,5,59550,0.46245591354587123
Porsche Taycan ,71.0,5.4,230.0,395.0,180.0,4,83520,0.4647680382415308
Porsche Taycan Plus,83.7,5.4,230.0,460.0,182.0,4,89244,0.4856286396445415
Tesla Model S Long Range,90.0,3.2,250.0,555.0,162.0,5,86990,0.558380800949021
Tesla Model S Plaid,90.0,2.1,322.0,535.0,168.0,5,126990,0.5464668408630243
Tesla Model X Long Range,90.0,3.9,250.0,475.0,189.0,7,95990,0.5215518069157287
Tesla Model X Plaid,90.0,2.6,262.0,455.0,198.0,7,116990,0.5075528545536023
Mini Cooper SE ,28.9,7.3,150.0,185.0,156.0,4,32500,0.3986629025789619
Volkswagen ID.4 Pure Performance,52.0,9.0,160.0,285.0,182.0,5,38450,0.416543621976505
Audi e-tron GT quattro,85.0,4.1,245.0,420.0,202.0,4,99800,0.4676390855574755
Volvo C40 Recharge,75.0,4.7,180.0,340.0,221.0,5,62050,0.4393380908067298
Hyundai Kona Electric 39 kWh,39.2,9.9,155.0,250.0,157.0,5,35650,0.41002200247425347
Hyundai Kona Electric 64 kWh,64.0,7.9,167.0,395.0,162.0,5,41850,0.47532137979232014
Porsche Taycan 4S Cross Turismo,83.7,4.1,240.0,405.0,207.0,4,111842,0.4496184797708631
Porsche Taycan Turbo Cross Turismo,83.7,3.3,250.0,385.0,217.0,4,154444,0.4157773873963197
Porsche Taycan Turbo S Cross Turismo,83.7,2.9,250.0,380.0,220.0,4,187746,0.39197668565455007
Kia EV6 GT,77.4,3.5,260.0,395.0,196.0,5,65990,0.49844172932881586
BMW iX xDrive40,71.0,6.1,200.0,350.0,203.0,5,77300,0.43596531219148144
BMW iX xDrive50,105.2,4.6,200.0,505.0,208.0,5,98000,0.49427747218768836
Hyundai IONIQ 5 Standard Range 2WD,58.0,8.5,185.0,310.0,187.0,5,41900,0.4311902148872195
Hyundai IONIQ 5 Long Range 2WD,72.6,7.4,185.0,385.0,189.0,5,45100,0.46567120896756
Hyundai IONIQ 5 Long Range AWD,72.6,5.2,185.0,375.0,194.0,5,48900,0.4725982934423092
Kia EV6 Standard Range 2WD,58.0,8.5,185.0,320.0,181.0,5,44990,0.435882183154812
Kia EV6 Long Range 2WD,77.4,7.5,185.0,420.0,184.0,5,54990,0.4742362606711852
Kia EV6 Long Range AWD,77.4,5.4,185.0,410.0,189.0,5,56000,0.4823955710595557
Mercedes EQS 450+,107.8,6.2,210.0,640.0,168.0,5,106374,0.5446591648906348
